,PURL,Term Label,Definition
115,ICO_0000006,informed consent regulatory body,"an organization charged with approving clinical study protocols, and ensuring that applicable governing rules and laws are upheld."
116,ICO_0000011,required informed consent element,a part of an informed consent form that is required for the form to be used in an informed consent process.
117,ICO_0000012,optional informed consent element,a part of informed consent form that is not required (optional) for the form.
118,ICO_0000025,effective date specification in informed consent form,a date specification in an informed consent form that specifies an effective date of an investigation.
119,ICO_0000026,expiration date specification in informed consent form,a date specification in an informed consent form that specifies the expiration date of an investigation.
120,ICO_0000029,informed consent form for clinical study,an informed consent form that is used for a clincal study.
121,ICO_0000030,informed consent form for storage and future use of unused samples,an informed consent form that is used for a storage and future use of unused samples.
122,ICO_0000031,informed consent form for qualitative study,an informed consent form that is used for a qualitative study.
123,ICO_0000037,project duration specification in informed consent form,a date that specifies a project duration date in an informed consen form.
124,ICO_0000041,informed consent rule specification,"a directive information entity that specifies the deontic roles that are produced, revoked, or modified following a process of informed consent, where those deontic roles inhere in a) the human subject consenter signing an informed consent form and b) the investigator or organization leading a research study or providing health care."
125,ICO_0000042,obligation informed consent rule specification,an informed consent rule specification that specifies a course of action legally required to be taken. An example is that the organization leading a study is obliged to destroy the patient's biospecimens after 10 years as required in an informed consent form.
126,ICO_0000043,permission informed consent rule specification,an informed consent rule specification that specifies an optional course of action that is an option for a participant to take. An example is that a human subject consenter is given the option to withdraw from a consented study any time as specified in an informed consent form.
127,ICO_0000059,ethics rule specification in informed consent,an informed consent rule specification that specifies the ethics in informed consent.
128,ICO_0000061,informed consent form for genetic study,an informed consent form that is designed for use in genetic studies.
129,ICO_0000063,informed consent form for quantitative study,None
130,ICO_0000068,general requirement for informed consent,§46.116 General requirements for informed consent
131,ICO_0000077,benefit,A benefit is a disposition or the potential positive effects that may arise from participatiing in a study.
132,ICO_0000078,risk,A risk is a disposition or the potential future harm that may arise from some present action. It is often combined or confused with the probability of an event which is seen as undesirable.
133,ICO_0000083,protected health information,"All ""individually identifiable health information"" held or transmitted by a covered entity or its business associate, in any form or media, whether electronic, paper, or oral."
134,ICO_0000122,US federal policy for the protection of human subjects,a directive information entity that specifies US federal policy for the protection of human subjects.
