,Purl,Old Label,New Label,Old Definition,New Definition
76,ICO_0000079,Institutional Review Board,Institutional Review Board,"A specially constituted independent review body comprised of medical, scientific and non-scientific members established and designated by an entity to ensure the protection of the rights, safety and well-being of human subjects recruited to participate in biomedical or behavioral research according to the requirements outlined in Title 38, part 16 (same as Title 45, part 46 and Title 21, part 56) of the U.S. Code of Federal Regulations. IRB responsibility include but not limited to the reviewing, approving, and providing continuing review of trial protocol and amendments and of the methods and material(s) to be used in obtaining and documenting informed consent of the trial. Other equivalent committees with the same or similar functions are also considered to be IRBs.","A specially constituted independent review body comprised of medical, scientific and non-scientific members established and designated by an entity to ensure the protection of the rights, safety and well-being of human subjects recruited to participate in biomedical or behavioral research according to the requirements outlined in Title 38, part 16 (same as Title 45, part 46 and Title 21, part 56) of the U.S. Code of Federal Regulations. IRB responsibility include but not limited to the reviewing, approving, and providing continuing review of trial protocol and amendments and of the methods and material(s) to be used in obtaining and documenting informed consent of the trial. Other equivalent committees with the same or similar functions are also considered to be IRBs."
25,ICO_0000081,legal guardian role,legal guardian role,A role that inheres in an individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research.,A role that inheres in an individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research.
26,ICO_0000082,legal guardian,legal guardian,,
132,ICO_0000083,protected health information,protected health information," All ""individually identifiable health information"" held or transmitted by a covered entity or its business associate, in any form or media, whether electronic, paper, or oral. ","All ""individually identifiable health information"" held or transmitted by a covered entity or its business associate, in any form or media, whether electronic, paper, or oral."
27,ICO_0000084,informed consent process with assenting process,informed consent process with assenting process,An informed consent process that has an assent process as a proper part. This process has a participant of a parent or a legally authorized representative on behalf of a child and an adult who lacks the capacity to consent.,An informed consent process that has an assent process as a proper part.
28,ICO_0000085,informed assent form,informed assent form,,
29,ICO_0000086,consenter role,consenter role,a role that inheres in a patient or the legal guadian when he/she participates the consenting process.,"A deontic role that is output of some Act of Consent and, in some contexts, may be realized in revoking or modifying the permission role that was output of the same Act of Consent. "
77,ICO_0000087,study duration,study duration,The measured temporal interval of a study.,A time measurement datum of a study period.
78,ICO_0000088,participation duration,participation duration,a temporal interval that represent the time of someone (for example the study subject) participating the study or the research.,A temporal interval that represent the time of a human being participates in a procedure or study
79,ICO_0000089,actual duration of study subject participation,actual duration of study subject participation,Total length of time of subject's participation in a clinical study; from the time of enrollment to the completion of follow-up.,Total length of time of subject's participation in a clinical study; from the time of enrollment to the completion of follow-up.
30,ICO_0000090,credential letter,credential letter,"A document that certifies that 1) a person may perform some action, or 2) which provides authentication for a claim, or 3) which confirms position or status.","A document that certifies that 1) a person may perform some action, or 2) which provides authentication for a claim, or 3) which confirms position or status."
31,ICO_0000095,minimal risk,minimal risk,The probability and magnitude of harm or discomfort anticipated in the research are not greater in and of themselves than those ordinarily encountered in daily life or during the performance of routine physical or psychological examinations or tests,A risk that is equal or lesser than those ordinarily encountered in daily life or during the performance of routine physical or psychological examinations or tests.
32,ICO_0000097,mental health care record,mental health care record,a medical record that records a patient's mental health care history.,a medical record that records a patient's mental health care history.
80,ICO_0000100,research-related injury,research-related injury,"a physical injury or illness that is a direct result of the treatment, or procedures required by the protocol, to which the subject would not have been exposed had they not participated in the study.","a physical injury or illness that is a direct result of the treatment, or procedures required by the protocol, to which the subject would not have been exposed had they not participated in the study."
33,ICO_0000101,human subject personal identifiable information,human subject personal identifiable information,The personal identifiable information that is about a human subject that enrolled in a study.,The personal identifiable information that is about a human subject that enrolled in a study.
34,ICO_0000103,individually identifiable health information,individually identifiable health information,"“Individually identifiable health information” is information, including demographic data, that relates to: 1)the individual’s past, present or future physical or mental health or condition, 2) the provision of health care to the individual, or 3) the past, present, or future payment for the provision of health care to the individual, and that identifies the individual or for which there is a reasonable basis to believe it can be used to identify the individual.
Individually identifiable health information includes many common identifiers (e.g., name, address, birth date, Social Security Number).","“Individually identifiable health information” is information, including demographic data, that relates to: 1)the individual’s past, present or future physical or mental health or condition, 2) the provision of health care to the individual, or 3) the past, present, or future payment for the provision of health care to the individual, and that identifies the individual or for which there is a reasonable basis to believe it can be used to identify the individual.
Individually identifiable health information includes many common identifiers (e.g., name, address, birth date, Social Security Number)."
35,ICO_0000106,legal name,legal name,"Legal name is the person name that identifies a person for legal, administrative and other official purposes. A person's first legal name generally is the name of the person that was given for the purpose of registration of the birth and which then appears on a birth certificate (see birth name), but may change subsequently.","Legal name is the person name that identifies a person for legal, administrative and other official purposes. A person's first legal name generally is the name of the person that was given for the purpose of registration of the birth and which then appears on a birth certificate (see birth name), but may change subsequently."
81,ICO_0000107,study termination,study termination,a process that terminates a study.,a process that terminates a study.
82,ICO_0000108,subject withdrawal,withdrawing participation in study,a planned process that represents a study participant withdrawing from a study.,A planned process in which an agent ceases participation in a study.
36,ICO_0000110,standard medical treatment,standard medical treatment,"A treatment currently in wide use and approved by FDA or other health authority, considered to be effective in the treatment of a specific disease or condition.","A treatment currently in wide use and approved by a regulatory body or health authority, considered to be effective in the treatment of a specific disease or condition."
37,ICO_0000111,review board approval number,review board approval number,A character string that is assigned by the review board upon approval of the study.,A character string that is assigned by a review board upon approval of the study.
38,ICO_0000112,data administration,data administration function,"data administration is an organizational function working in the areas of information systems and computer science that plans, organizes, describes and controls data resources.","An organizational function that a) involves the areas of information systems and computer science; and that b) plans, organizes, describes, and controls data resources."
39,ICO_0000113,anonymized data,anonymized data,a data item that has been processed to make it impossible to know the person with whom the data are associated.,A data item that has been processed to prevent the identification of the person with whom the data are associated.
83,ICO_0000114,anonymized genomic data,anonymized genomic data,anonoymized data that is about a genomic sample.,anonoymized data that is about a genomic sample.
94,ICO_0000116,human subject data usage,act of using participant data,a planned process that involves in the usage of data generated out of a human subject participation.,A planned process that involves in the usage of data which was an output of a human being's participation in a study.
40,ICO_0000118,repository of signed informed consent forms,repository of documents,A site where signed informed consent forms are physically perserved.,A site where documents are preserved.
133,ICO_0000122,US federal policy for the protection of human subjects,US federal policy for the protection of human subjects,a directive information entity that specifies US federal policy for the protection of human subjects.,a directive information entity that specifies US federal policy for the protection of human subjects.
41,ICO_0000127,planned duration of study subject participation,planned duration of study subject participation,a participation time that is the total length of time of subject's participation in a research study; from the time of enrollment to the completion of follow-up.,a participation time that is the total length of time of subject's participation in a research study; from the time of enrollment to the completion of follow-up.
84,ICO_0000127,planned duration of study subject participation,planned duration of study subject participation,a participation time that is the total length of time of subject's participation in a research study; from the time of enrollment to the completion of follow-up.,a participation time that is the total length of time of subject's participation in a research study; from the time of enrollment to the completion of follow-up.
85,ICO_0000131,IRB approval number,Institutional Review Board Approval Number,A review board approval number that is assigned by an Institutional Review Board (IRB) in the USA.,A review board approval number that is assigned by an Institutional Review Board (IRB) in the USA.
42,ICO_0000138,vaccination informed consent form,informed consent form for vaccination,an informed consent form that is used for vaccination,An informed consent form that contains sections specific to procedures in vaccination.
43,ICO_0000140,eligibility questionnaire,eligibility questionnaire,A questionaire that lists the questions associated with a participant or human subject's eligibility. The answers of these eligibility questions will determine if the participant is eligible for participation in a study or operation.,"A questionnaire with a set of questions and choices which help identify an eligibility criterion (OBI_05000026), such that the answers to these questions enable determination whether or not the person is eligible to participate."
44,ICO_0000141,question textual entity,question textual entity,a textual entity that provides a question in text.,A textual entity that presents a question or specifies a prompt to which one may answer.
45,ICO_0000142,legally effective consenting,legally effective consenting,A planned process that results in a legally effective consent status,A planned process that results in a legally effective consent status
46,ICO_0000143,assent process,assent process,A planned process where a child who is unable to give true informed consent before a certain age agrees to participate.,"A planned process of acknowledgement (or agreement) to participate in a procedure or study, where the participant is incapable of informed consent."
47,ICO_0000144,legally effective consented participant role,legally effective consented participant role,A role that inheres in a human being who participates in a consenting process and eventually becomes legally effectively consented.,A role that inheres in a human being who participates in a consenting process and eventually becomes legally effectively consented.
98,ICO_0000145,consenting to postmortem donation of specified anatomical entities,postmortem donation of biological specimen,An informed consent for a person to allow postmortem collection of specimens derived from specified anatomical entities that is the outcome of an informed consent process that occurs after death of the donor and has donor family members as participants.,A planned process in which an agent's designated biological specimen is collected after the death of the agent.
107,ICO_0000145,postmortem donation of biological specimen,postmortem donation of biological specimen,A planned process in which an agent's designated biological specimen is collected after the death of the agent.,A planned process in which an agent's designated biological specimen is collected after the death of the agent.
86,ICO_0000147,candidate eligible for study role,candidate eligible for study role,a role inhering in a participant who meets all eligibility criteria defined within a study protocol,a role inhering in a participant who meets all eligibility criteria defined within a study protocol
87,ICO_0000148,candidate ineligible for study role,candidate ineligible for study role,a role inhering in a participant who does not meet all eligibility criteria defined within the study protocol,a role inhering in a participant who does not meet all eligibility criteria defined within the study protocol
99,ICO_0000149,consenting to be contacted for future research,act of contact for future research,An informed consent for a person to consent to be contacted for future research.,A planned process in which an agent contacts the participant regarding opportunities related to future research.
108,ICO_0000149,act of contact for future research,act of contact for future research,A planned process in which an agent contacts the participant regarding opportunities related to future research.,A planned process in which an agent contacts the participant regarding opportunities related to future research.
48,ICO_0000150,eligibility screeening,eligibility screening process,"A planned process to screen the eligibility of a candidate for a study, whcih is usually done against one or more protocols.","A planned process to screen the eligibility of a candidate for a study or procedure, verifying whether certain sufficient or necessary conditions for eligibility obtain."
49,ICO_0000155,informed consent process,informed consent process,"A planned process that a person agrees to participate in a research project, which is a part of an informed consent process.","A planned process that a person agrees to participate in a research project, which is a part of an informed consent process."
50,ICO_0000156,adult consent process,adult consent process,An informed consent by an adult subject who is capable of giving permission to participate in a research study and who is capable of providing consent.,An informed consent process that involves an adult who consents.
51,ICO_0000157,consenting by a parent,parental consent,An informed consent by the parent/guardian of a child or a minor to consent to give a permission for the child/minor to be included in research.,An informed consent by the parent on behalf of a child or a minor to give a permission for the child or minor to participate in study or procedure.
52,ICO_0000158,denial to informed consent,denial to informed consent,A planned process that a person denies to participate in a research project.,A planned process that a person denies to participate in a research project.
53,ICO_0000159,verbal consenting,informed verbal consent,An informed consent by a participant to verbally read the elements and verbally agrees to participate. Verbal consent still contains all elements of written consent.,An informed consent process in which the participant communicates consent orally rather than by filling out and signing a written form.
54,ICO_0000160,consenting in short form,consenting in short form,An informed consent when there is a language barrier and an English IRB-approved consent is orally translated in the subject’s native language.,"An informed consent process in which the pariticipant is not competent to read and write in the language of the informed consent form, but is competent to consent with the aid of a translation into the agent's native language."
100,ICO_0000161,consenting to collection of biological samples,biological sample collecting,An informed consent for the collection of biological sample from a subject.,A planned process in which a biological sample from a subject is collected for testing.
109,ICO_0000161,biological sample collecting,biological sample collecting,A planned process in which a biological sample from a subject is collected for testing.,A planned process in which a biological sample from a subject is collected for testing.
101,ICO_0000162,consenting to tissue sample collection,tissue sample collecting,An informed consent for the collection of some tissue samples from a subject.,A planned process in which a tissue sample from a subject is collected for testing.
110,ICO_0000162,tissue sample collecting,tissue sample collecting,A planned process in which a tissue sample from a subject is collected for testing.,A planned process in which a tissue sample from a subject is collected for testing.
102,ICO_0000163,consenting to blood sample collection,blood sample collecting,An informed consent for the collection of a blood sample from a subject.,A planned process in which a blood sample from a subject is collected for testing.
111,ICO_0000163,blood sample collecting,blood sample collecting,A planned process in which a blood sample from a subject is collected for testing.,A planned process in which a blood sample from a subject is collected for testing.
88,ICO_0000167,permittee deontic role in genetic research,permittee deontic role in genetic research,A deontic role that if realized is realized by its bearer conducting or overseeing genetic research on the genome of a human donor.,A deontic role that if realized is realized by its bearer conducting or overseeing genetic research on the genome of a human donor.
89,ICO_0000168,genetic research permission deontic declaration,genetic research permission deontic declaration,A deontic declaration that has permittee role to do genetic research on a human donor as a specified outcome.,A deontic declaration that has permittee role to do genetic research on a human donor as a specified outcome.
55,ICO_0000169,assenter role,assenter role,a role that inheres in a human subject who participates in a process of granting assent.,A role that inheres in an individual as an output of an informed assent process.
56,ICO_0000171,answer option text entity,filled multiple choice text entity,a textual entity that provides an option of an answer for a person to select.,A textual entity that specifies a chosen option among multiple options presented.
57,ICO_0000172,yes answer text entity,yes answer text entity,an answer option textual entity that answers a question with a yes.,A filled multiple choice text entity that specifies an affirmative option.
58,ICO_0000173,no answer text entity,no answer text entity,an answer option textual entity that answers a question with a no.,A filled multiple choice text entity that specifies a negative option.
90,ICO_0000177,consenting to not to have financial benefit,consenting to not to have financial benefit,An informed consent for a subject agrees not to have financial benefit in the future.,An informed consent for a subject agrees not to have financial benefit in the future.
103,ICO_0000178,consenting to not to be informed about incidental finding,consenting to not to be informed about incidental finding,An informed consent for a subject agrees not to be informed about any incidental finding.,An informed consent for a subject agrees not to be informed about any incidental finding.
112,ICO_0000178,consenting to not to be informed about incidental finding,consenting to not to be informed about incidental finding,An informed consent for a subject agrees not to be informed about any incidental finding.,An informed consent for a subject agrees not to be informed about any incidental finding.
91,ICO_0000179,broad consent process,broad consent process,An informed consent for an unspecified range of future research subject to a few content and/or process restrictions.,An informed consent for an unspecified range of future research subject to a few content and/or process restrictions.
92,ICO_0000180,process of providing broad consent for research with biological sample,process of providing broad consent for research with biological sample,A broad consent that is for an unspecified range of future research subject to a few content and/or process restrictions with biological sample.,A broad consent that is for an unspecified range of future research subject to a few content and/or process restrictions with biological sample.
93,ICO_0000181,consenting to the secondary use,secondary use,An informed consent for an unspecified range of future research subject to a few content or process restrictions.,A planned process that involves an unspecified range of future research that need not be relevant to treating the agent.
